Year,Round,SeasonRoundNumber,TeamID,Team,RatingAtt,RatingDef,RatingOverall,RankAtt,RankDef,RankOverall,Matches,Wins,Losses,Draws,For,Against,Percentage,Points,MR
2000,0,0,1,Adel,-4.465,-2.522,-6.987,12,12,13,0,0,0,0,0,0,,0,
2000,0,0,2,Bris,10.36,8.741,19.101,3,1,1,0,0,0,0,0,0,,0,
2000,0,0,3,Carl,3.064,1.937,5.001,6,6,5,0,0,0,0,0,0,,0,
2000,0,0,4,Coll,-3.625,-6.038,-9.663,9,15,14,0,0,0,0,0,0,,0,
2000,0,0,5,Ess,10.501,5.596,16.097,2,2,2,0,0,0,0,0,0,,0,
2000,0,0,6,Frem,-2.782,-7.073,-9.855,8,16,15,0,0,0,0,0,0,,0,
2000,0,0,7,Geel,3.666,-5.341,-1.6750000000000003,5,13,7,0,0,0,0,0,0,,0,
2000,0,0,8,Haw,-4.087,1.545,-2.542,10,8,8,0,0,0,0,0,0,,0,
2000,0,0,9,NM,11.251,2.82,14.071,1,4,3,0,0,0,0,0,0,,0,
2000,0,0,10,Melb,-6.845,-5.752,-12.597,15,14,16,0,0,0,0,0,0,,0,
2000,0,0,11,Port,-8.99,3.432,-5.558,16,3,12,0,0,0,0,0,0,,0,
2000,0,0,12,Rich,-4.515,-0.749,-5.263999999999999,13,11,11,0,0,0,0,0,0,,0,
2000,0,0,13,St K,-5.271,1.801,-3.4699999999999998,14,7,9,0,0,0,0,0,0,,0,
2000,0,0,14,Syd,0.591,-0.207,0.384,7,10,6,0,0,0,0,0,0,,0,
2000,0,0,15,WC,-4.093,-0.199,-4.292,11,9,10,0,0,0,0,0,0,,0,
2000,0,0,16,WB,5.242,2.008,7.25,4,5,4,0,0,0,0,0,0,,0,
2000,1,1,1,Adel,-3.374,-5.031,-8.405,10,15,12,1,0,1,0,108,131,82.44,0,0
2000,1,1,2,Bris,10.269,2.151,12.42,2,4,2,1,0,1,0,112,152,73.68,0,0
2000,1,1,3,Carl,9.654,2.028,11.682,3,5,3,1,1,0,0,152,112,135.71,4,100
2000,1,1,4,Coll,2.294,-0.136,2.158,7,10,9,1,1,0,0,140,86,162.79,4,100
2000,1,1,5,Ess,12.368,8.449,20.817,1,1,1,1,1,0,0,156,62,251.61,4,100
2000,1,1,6,Frem,-6.461,-8.352,-14.813,11,16,16,1,0,1,0,107,129,82.95,0,0
2000,1,1,7,Geel,4.945,-1.662,3.2830000000000004,6,12,7,1,1,0,0,129,107,120.56,4,100
2000,1,1,8,Haw,-9.989,-4.373,-14.362000000000002,15,14,15,1,0,1,0,86,140,61.43,0,0
2000,1,1,9,NM,8.379,-1.811,6.568,4,13,5,1,0,1,0,111,154,72.08,0,0
2000,1,1,10,Melb,-8.151,-1.33,-9.481,13,11,13,1,0,1,0,92,94,97.87,0,0
2000,1,1,11,Port,-11.844,1.565,-10.279,16,7,14,1,0,1,0,62,156,39.74,0,0
2000,1,1,12,Rich,-8.936,0.556,-8.379999999999999,14,9,11,1,1,0,0,94,92,102.17,4,100
2000,1,1,13,St K,-8.123,1.711,-6.411999999999999,12,6,10,1,0,1,0,100,134,74.63,0,0
2000,1,1,14,Syd,0.68,2.644,3.3240000000000003,8,3,6,1,1,0,0,134,100,134,4,100
2000,1,1,15,WC,0.538,2.673,3.2110000000000003,9,2,8,1,1,0,0,154,111,138.74,4,100
2000,1,1,16,WB,7.75,0.916,8.666,5,8,4,1,1,0,0,131,108,121.3,4,100
2000,2,2,1,Adel,-4.107,-4.65,-8.757000000000001,10,14,11,2,0,2,0,200,234,85.47,0,0
2000,2,2,2,Bris,12.25,5.635,17.884999999999998,2,3,2,2,1,1,0,251,262,95.8,4,50
2000,2,2,3,Carl,14.565,2.782,17.347,1,5,3,2,2,0,0,306,224,136.61,8,100
2000,2,2,4,Coll,1.913,0.598,2.511,7,7,8,2,2,0,0,243,178,136.52,8,100
2000,2,2,5,Ess,11.947,7.075,19.022,3,2,1,2,2,0,0,286,149,191.95,8,100
2000,2,2,6,Frem,-3.523,-5.856,-9.379,9,15,13,2,1,1,0,232,216,107.41,4,50
2000,2,2,7,Geel,6.988,-0.612,6.376,5,9,5,2,2,0,0,268,206,130.1,8,100
2000,2,2,8,Haw,-10.742,-9.285,-20.027,15,16,16,2,0,2,0,198,294,67.35,0,0
2000,2,2,9,NM,9.737,-3.475,6.2620000000000005,4,13,6,2,0,2,0,231,299,77.26,0,0
2000,2,2,10,Melb,-6.487,-2.688,-9.175,12,12,12,2,1,1,0,237,214,110.75,4,50
2000,2,2,11,Port,-14.339,-1.374,-15.713000000000001,16,11,15,2,0,2,0,149,281,53.02,0,0
2000,2,2,12,Rich,-7.562,0.977,-6.585,13,6,10,2,1,1,0,181,222,81.53,4,50
2000,2,2,13,St K,-9.172,-0.333,-9.505,14,8,14,2,0,2,0,199,273,72.89,0,0
2000,2,2,14,Syd,-1.165,7.752,6.587,8,1,4,2,2,0,0,216,170,127.06,8,100
2000,2,2,15,WC,-4.569,4.519,-0.04999999999999982,11,4,9,2,1,1,0,224,193,116.06,4,50
2000,2,2,16,WB,4.266,-1.065,3.201,6,10,7,2,1,1,0,241,247,97.57,4,50
2000,3,3,1,Adel,-5.511,-2.312,-7.823,12,12,12,3,0,3,0,300,345,86.96,0,0
2000,3,3,2,Bris,8.916,3.376,12.292,4,4,2,3,1,2,0,354,372,95.16,4,33.33333333333333
2000,3,3,3,Carl,12.639,-0.652,11.987,1,9,3,3,2,1,0,393,384,102.34,8,66.66666666666666
2000,3,3,4,Coll,5.346,2.524,7.87,5,5,4,3,3,0,0,403,265,152.08,12,100
2000,3,3,5,Ess,10.971,7.75,18.721,3,1,1,3,3,0,0,410,237,173,12,100
2000,3,3,6,Frem,-4.197,-4.879,-9.076,11,14,13,3,1,2,0,320,340,94.12,4,33.33333333333333
2000,3,3,7,Geel,4.65,0.791,5.441000000000001,6,6,6,3,3,0,0,379,306,123.86,12,100
2000,3,3,8,Haw,-8.483,-5.95,-14.433,14,16,15,3,1,2,0,308,397,77.58,4,33.33333333333333
2000,3,3,9,NM,11.09,-5.065,6.0249999999999995,2,15,5,3,1,2,0,401,433,92.61,4,33.33333333333333
2000,3,3,10,Melb,-4.024,-2.67,-6.694,10,13,11,3,1,2,0,351,340,103.24,4,33.33333333333333
2000,3,3,11,Port,-16.052,-1.325,-17.377,16,10,16,3,0,3,0,243,422,57.58,0,0
2000,3,3,12,Rich,-5.972,-0.377,-6.349,13,8,10,3,1,2,0,315,392,80.36,4,33.33333333333333
2000,3,3,13,St K,-9.723,-2.217,-11.940000000000001,15,11,14,3,0,2,1,315,389,80.98,2,16.666666666666664
2000,3,3,14,Syd,-1.183,5.288,4.105,8,2,8,3,3,0,0,342,284,120.42,12,100
2000,3,3,15,WC,-2.685,5.069,2.384,9,3,9,3,1,1,1,340,309,110.03,6,50
2000,3,3,16,WB,4.217,0.648,4.864999999999999,7,7,7,3,2,1,0,382,341,112.02,8,66.66666666666666
2000,4,4,1,Adel,-6.298,-7.078,-13.376000000000001,12,14,13,4,0,4,0,373,532,70.11,0,0
2000,4,4,2,Bris,9.068,0.176,9.244,3,7,4,4,1,3,0,460,521,88.29,4,25
2000,4,4,3,Carl,7.273,0.072,7.345,4,8,7,4,2,2,0,452,482,93.78,8,50
2000,4,4,4,Coll,6.324,3.34,9.664,5,5,2,4,4,0,0,509,366,139.07,16,100
2000,4,4,5,Ess,13.216,8.728,21.944,1,1,1,4,4,0,0,547,327,167.28,16,100
2000,4,4,6,Frem,-4.029,-1.823,-5.852,11,12,11,4,2,2,0,408,427,95.55,8,50
2000,4,4,7,Geel,2.387,1.479,3.866,7,6,8,4,3,1,0,478,410,116.59,12,75
2000,4,4,8,Haw,-9.46,-8.196,-17.656,14,16,15,4,1,3,0,398,534,74.53,4,25
2000,4,4,9,NM,10.403,-2.802,7.601000000000001,2,13,6,4,2,2,0,505,532,94.92,8,50
2000,4,4,10,Melb,1.182,-0.632,0.5499999999999999,9,10,10,4,2,2,0,516,415,124.34,8,50
2000,4,4,11,Port,-12.852,-1.476,-14.328,16,11,14,4,1,3,0,392,528,74.24,4,25
2000,4,4,12,Rich,-9.029,-0.545,-9.574,13,9,12,4,1,3,0,402,480,83.75,4,25
2000,4,4,13,St K,-11.761,-7.422,-19.183,15,15,16,4,0,3,1,390,554,70.4,2,12.5
