Season,Team,ShotType,Goal,Behind,Score
2021,Adelaide,General Play,90,101,641
2021,Adelaide,Set Position,140,96,936
2021,Brisbane,General Play,144,113,977
2021,Brisbane,Set Position,189,109,1243
2021,Carlton,General Play,96,101,677
2021,Carlton,Set Position,154,100,1024
2021,Collingwood,General Play,72,75,507
2021,Collingwood,Set Position,153,91,1009
2021,Essendon,General Play,112,100,772
2021,Essendon,Set Position,179,100,1174
2021,Fremantle,General Play,85,117,627
2021,Fremantle,Set Position,134,103,907
2021,Geelong,General Play,105,102,732
2021,Geelong,Set Position,190,111,1251
2021,Gold Coast,General Play,87,93,615
2021,Gold Coast,Set Position,114,87,771
2021,Greater Western Sydney,General Play,136,99,915
2021,Greater Western Sydney,Set Position,143,91,949
2021,Hawthorn,General Play,101,72,678
2021,Hawthorn,Set Position,138,73,901
2021,Melbourne,General Play,150,110,1010
2021,Melbourne,Set Position,173,132,1170
2021,North Melbourne,General Play,76,72,528
2021,North Melbourne,Set Position,134,82,886
2021,Port Adelaide,General Play,114,107,791
2021,Port Adelaide,Set Position,180,106,1186
2021,Richmond,General Play,104,70,694
2021,Richmond,Set Position,149,113,1007
2021,St Kilda,General Play,101,78,684
2021,St Kilda,Set Position,136,106,922
2021,Sydney,General Play,118,91,799
2021,Sydney,Set Position,185,104,1214
2021,West Coast,General Play,101,78,684
2021,West Coast,Set Position,156,90,1026
2021,Western Bulldogs,General Play,130,112,892
2021,Western Bulldogs,Set Position,209,126,1380
2022,Adelaide,General Play,99,86,680
2022,Adelaide,Set Position,150,92,992
2022,Brisbane,General Play,164,95,1079
2022,Brisbane,Set Position,191,118,1264
2022,Carlton,General Play,102,96,708
2022,Carlton,Set Position,166,112,1108
2022,Collingwood,General Play,129,98,872
2022,Collingwood,Set Position,174,103,1147
2022,Essendon,General Play,80,99,579
2022,Essendon,Set Position,169,94,1108
2022,Fremantle,General Play,128,100,868
2022,Fremantle,Set Position,143,96,954
2022,Geelong,General Play,157,115,1057
2022,Geelong,Set Position,202,137,1349
2022,Gold Coast,General Play,118,90,798
2022,Gold Coast,Set Position,153,103,1021
2022,Greater Western Sydney,General Play,94,92,656
2022,Greater Western Sydney,Set Position,143,85,943
2022,Hawthorn,General Play,95,86,656
2022,Hawthorn,Set Position,167,82,1084
2022,Melbourne,General Play,139,108,942
2022,Melbourne,Set Position,161,110,1076
2022,North Melbourne,General Play,80,66,546
2022,North Melbourne,Set Position,113,72,750
2022,Port Adelaide,General Play,103,90,708
2022,Port Adelaide,Set Position,158,108,1056
2022,Richmond,General Play,133,101,899
2022,Richmond,Set Position,201,106,1312
2022,St Kilda,General Play,95,83,653
2022,St Kilda,Set Position,152,98,1010
2022,Sydney,General Play,148,118,1006
2022,Sydney,Set Position,188,120,1248
